apt_code,apt_name,total_households,completion_date,district,total_buildings,land_address,road_address,latitude,longitude,construction_company,heating_type,max_floor,min_floor,parking_per_household,area_list
3ae33ebe,헬리오시티,9510세대 (장기전세 1401세대 포함),2018-12-01,서울시 송파구 가락동,84,서울시 송파구 가락동 479,서울시 송파구 송파대로 345,37.497509,127.107692,"현대산업개발, 현대건설, 삼성물산","지역난방, 열병합",35,10,1.3,"61A,61B,61D,62C,72C,72D,72B,72A,84,107A,107J1,107J2,107I,108G,108K,108L,108H,109E,109C,109B,110D,110F,126,140A,141B,163,193C,193B,193A,194D"
db1e18fb,파크리오,6864세대,2008-08-01,서울시 송파구 신천동,66,서울시 송파구 신천동 17,서울시 송파구 올림픽로 435,37.521278,127.108677,현대건설(주)외 5,"지역난방, 열병합",36,20,1.41,"52,86A,86B,87C,108B,108A,108B1,109C,149,174"
93c2b21f,잠실엘스,5678세대,2008-09-01,서울시 송파구 잠실동,72,서울시 송파구 잠실동 19,서울시 송파구 올림픽로 99,37.513348,127.081556,"대림산업, 삼성물산, 현대건설, 현대산업개발(주)","지역난방, 열병합",34,17,1.35,"84,109B,109A,111C,149"
4139b5cd,리센츠,5563세대,2008-07-01,서울시 송파구 잠실동,65,서울시 송파구 잠실동 22,서울시 송파구 올림픽로 135,37.51325,127.086749,(주)대우건설외3,"지역난방, 열병합",33,21,1.4,"42A,42B,42C,82B,82D,82E,82F,82A,82C,109A,109B,109C,109J,109F,109G,109I,109E,109D,110H,126,158B,158A"
a32c5888,올림픽선수기자촌,5540세대,1988-06-01,서울시 송파구 방이동,122,서울시 송파구 방이동 89,서울시 송파구 양재대로 1218,37.51505,127.136229,한신공영(주)외12개사,"지역난방, 열병합",24,6,1.0,"82,95,109B,109A,112,132A,132B,142,155A,155B,161,165,168,171,175,188,211"
79e9ff17,남산타운,5150세대 (장기전세 2034세대 포함),2002-05-01,서울시 중구 신당동,42,서울시 중구 신당동 844,서울시 중구 다산로 32,37.546641,127.006968,SK건설(주),"개별난방, 도시가스",18,11,0.83,"85,106,139"
b1b4b365,개포주공1단지,5040세대,1982-11-01,서울시 강남구 개포동,124,서울시 강남구 개포동 660-1,서울시 강남구 개포로 310,37.479956,127.059436,대한주택공사,"개별난방, 도시가스",5,5,0.48,"35,41,45,49F,50S,50B,53,58,61"
ac976530,고덕그라시움,4932세대 (장기전세 140세대 포함),2019-09-01,서울시 강동구 고덕동,53,서울시 강동구 고덕동 693,서울시 강동구 고덕로 333,37.557476,127.162212,"(주)대우건설,현대건설(주),에스케이건설(주)","지역난방, 열병합",35,9,1.43,"82A,82C,82D,82B,100A,101B,114A,115D,115C,115B,132B,133A,153A,154C,155B,172,184A,184B,200,242B,243C,243A"
e0d2e6f1,"한신,한진",4515세대 (장기전세 580세대 포함),1998-07-01,서울시 성북구 돈암동,31,서울시 성북구 돈암동 609-1,서울시 성북구 성북로4길 52,37.594957,127.010492,"한진건설(주),한신공영(주)","중앙난방, 도시가스",21,5,1.09,"81,92,109,143,164,183"
1493f266,올림픽훼밀리타운,4494세대,1988-12-01,서울시 송파구 문정동,56,서울시 송파구 문정동 150,서울시 송파구 중대로 24,37.488599,127.115048,"롯데,대우,선경","지역난방, 열병합",15,13,1.0,"103B,104A,138,158,182,219"
